GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;09564;Nürnberg, kreisfreie Stadt;72430;65895;138325
31.12.2020;09565;Schwabach, kreisfreie Stadt;3255;2685;5940
31.12.2020;09571;Ansbach, Landkreis;10185;7760;17945
31.12.2020;09572;Erlangen-Höchstadt, Landkreis;7575;6840;14420
31.12.2020;09573;Fürth, Landkreis;6160;5205;11360
31.12.2020;09574;Nürnberger Land, Landkreis;8680;7870;16545
31.12.2020;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;5075;3825;8900
31.12.2020;09576;Roth, Landkreis;5660;4505;10165
31.12.2020;09577;Weißenburg-Gunzenhausen, Landkreis;5220;4440;9660
31.12.2020;09661;Aschaffenburg, kreisfreie Stadt;7000;6290;13295
31.12.2020;09662;Schweinfurt, kreisfreie Stadt;5880;5065;10945
31.12.2020;09663;Würzburg, kreisfreie Stadt;8935;8535;17470
31.12.2020;09671;Aschaffenburg, Landkreis;9130;8345;17475
31.12.2020;09672;Bad Kissingen, Landkreis;3400;2980;6380
31.12.2020;09673;Rhön-Grabfeld, Landkreis;2155;1865;4020
31.12.2020;09674;Haßberge, Landkreis;2145;1870;4020
31.12.2020;09675;Kitzingen, Landkreis;5235;3970;9205
31.12.2020;09676;Miltenberg, Landkreis;7715;7280;14990
31.12.2020;09677;Main-Spessart, Landkreis;5025;4585;9605
31.12.2020;09678;Schweinfurt, Landkreis;6770;4445;11215
31.12.2020;09679;Würzburg, Landkreis;6150;5065;11215
31.12.2020;09761;Augsburg, kreisfreie Stadt;39315;34055;73370
31.12.2020;09762;Kaufbeuren, kreisfreie Stadt;4170;3575;7745
31.12.2020;09763;Kempten (Allgäu), kreisfreie Stadt;6250;5505;11750
31.12.2020;09764;Memmingen, kreisfreie Stadt;4790;4080;8875
31.12.2020;09771;Aichach-Friedberg, Landkreis;7160;5505;12665
31.12.2020;09772;Augsburg, Landkreis;14695;12620;27315
31.12.2020;09773;Dillingen an der Donau, Landkreis;5645;4635;10280
31.12.2020;09774;Günzburg, Landkreis;10105;8265;18370
31.12.2020;09775;Neu-Ulm, Landkreis;15355;13030;28385
31.12.2020;09776;Lindau (Bodensee), Landkreis;5990;5635;11625
31.12.2020;09777;Ostallgäu, Landkreis;7290;6385;13675
31.12.2020;09778;Unterallgäu, Landkreis;8800;6660;15460
31.12.2020;09779;Donau-Ries, Landkreis;7825;6130;13955
31.12.2020;09780;Oberallgäu, Landkreis;7375;6950;14325
31.12.2020;10041;Regionalverband Saarbrücken, Landkreis;-;-;-
31.12.2020;10042;Merzig-Wadern, Landkreis;-;-;-
31.12.2020;10043;Neunkirchen, Landkreis;-;-;-
31.12.2020;10044;Saarlouis, Landkreis;67695;60725;128425
31.12.2020;10045;Saarpfalz-Kreis;-;-;-
31.12.2020;10046;Sankt Wendel, Landkreis;-;-;-
31.12.2020;11000;Berlin, kreisfreie Stadt;431290;392700;823985
31.12.2020;12051;Brandenburg an der Havel, kreisfreie Stadt;2625;1845;4465
31.12.2020;12052;Cottbus, kreisfreie Stadt;7215;6155;13370
31.12.2020;12053;Frankfurt (Oder), kreisfreie Stadt;2615;2610;5225
31.12.2020;12054;Potsdam, kreisfreie Stadt;9670;8750;18420
31.12.2020;12060;Barnim, Landkreis;5070;3990;9060
31.12.2020;12061;Dahme-Spreewald, Landkreis;5200;4110;9310
31.12.2020;12062;Elbe-Elster, Landkreis;1485;1105;2590
31.12.2020;12063;Havelland, Landkreis;5040;3895;8935
31.12.2020;12064;Märkisch-Oderland, Landkreis;4230;3455;7690
31.12.2020;12065;Oberhavel, Landkreis;5540;4205;9745
31.12.2020;12066;Oberspreewald-Lausitz, Landkreis;2575;1650;4225
31.12.2020;12067;Oder-Spree, Landkreis;6095;4425;10520
31.12.2020;12068;Ostprignitz-Ruppin, Landkreis;2720;1705;4420
31.12.2020;12069;Potsdam-Mittelmark, Landkreis;5645;4255;9905
31.12.2020;12070;Prignitz, Landkreis;2230;1505;3735
31.12.2020;12071;Spree-Neiße, Landkreis;-;-;-
31.12.2020;12072;Teltow-Fläming, Landkreis;5955;4390;10345
31.12.2020;12073;Uckermark, Landkreis;3110;2570;5685
31.12.2020;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2020;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2020;13003;Rostock, kreisfreie Stadt;8915;6535;15450
31.12.2020;13004;Schwerin, kreisfreie Stadt;4780;4015;8800
31.12.2020;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2020;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2020;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-
