GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;03404;Osnabrück, kreisfreie Stadt;2271;2129;2686;3424;2052;1635;7279;7925;6699;5074;4585;4703;5777;5542;4679;6718;6297;2157;2119;2621;3241;1888;1856;8478;7598;5852;5108;4608;4867;5785;5690;5014;7839;10027
31.12.2020;03405;Wilhelmshaven, kreisfreie Stadt;990;1003;1190;1542;942;692;2571;3039;2661;1735;1812;1869;2807;3007;2456;4200;4398;936;966;1148;1439;917;672;2412;2348;2146;1840;1794;1896;2785;3159;2693;4820;6304
31.12.2020;03451;Ammerland, Landkreis;1689;1893;2383;3009;2004;1396;3422;3151;3539;3488;3455;3807;5218;5222;4248;6975;6354;1763;1756;2281;2882;1906;1334;2824;3054;3670;3601;3644;3979;5412;5488;4533;7695;8568
31.12.2020;03452;Aurich, Landkreis;2542;2655;3403;4566;2894;2151;5446;5257;5516;4965;5052;5909;7897;7946;6921;11768;8591;2418;2449;3223;4109;2728;1998;4896;4685;5144;4928;5153;6127;8178;8547;7509;12520;12087
31.12.2020;03453;Cloppenburg, Landkreis;3122;2988;3772;4808;3140;2392;6185;6057;6120;5569;5181;5493;6988;6895;5681;7561;5456;2918;2932;3507;4560;2974;2054;5188;5330;5481;5128;5107;5301;6572;6599;5659;7625;8289
31.12.2020;03454;Emsland, Landkreis;5168;5129;6442;8353;5338;3944;10441;10718;11516;10544;10225;10972;13684;13543;11432;16755;12725;4901;4984;6117;7841;5147;3579;8797;9158;9883;9657;9553;10165;12852;13032;11432;17109;17794
31.12.2020;03455;Friesland, Landkreis;1279;1423;1721;2208;1408;1042;2578;2444;2672;2457;2407;2782;4141;4270;3472;6032;5897;1212;1303;1630;2028;1333;960;2240;2307;2627;2524;2592;2980;4398;4532;3768;6635;7669
31.12.2020;03456;Grafschaft Bentheim, Landkreis;2122;2101;2751;3562;2238;1602;4123;4124;4276;4053;4038;4324;5745;5971;4794;7245;5969;2021;2010;2565;3384;2136;1418;3524;3666;4034;3913;3854;4390;5744;5723;4677;7606;8188
31.12.2020;03457;Leer, Landkreis;2606;2584;3231;4047;2682;1976;5024;5053;5612;5127;4951;5341;7144;7209;5824;9552;7467;2400;2411;3031;4009;2623;1745;4546;4660;5007;4737;4602;5380;7073;7222;6254;9958;10395
31.12.2020;03458;Oldenburg, Landkreis;1941;1914;2387;3196;2135;1583;3833;3403;3791;3563;3726;4071;5989;5913;4730;6960;6096;1727;1835;2353;2972;1852;1404;3160;3187;3682;3647;3817;4319;5977;5887;4826;7301;8290
31.12.2020;03459;Osnabrück, Landkreis;5592;5605;7195;8988;5724;4087;10646;10212;11238;10519;10325;11077;14552;15516;13130;18323;15661;5339;5254;6659;8368;5606;3782;8868;8929;10568;10284;10343;11475;14665;15436;13114;19230;23161
31.12.2020;03460;Vechta, Landkreis;2483;2452;3151;3962;2543;1911;5156;4990;5050;4704;4391;4629;5688;5891;4722;6232;4633;2468;2316;2913;3682;2414;1681;4543;4592;4674;4362;4350;4440;5425;5614;4537;6345;6754
